image,E(GPa),H(GPa),Load(N),InnerPixels,CrackLength(um),FractureToughness(Kc)
125.JPG,74.6,2.17,0.5493060000000001,6063,34.15881868613482,16132423.894795546
131.JPG,66.0,2.3,0.548855,4775,30.31417454690387,17615584.349743962
119.JPG,71.3,2.26,0.549976,4206,28.450748274937435,20356061.003092006
118.JPG,75.9,2.13,0.5492480000000001,5751,33.26831023716883,17086513.587352503
130.JPG,70.9,2.2,0.549986,5325,32.012446451522344,17237930.057598013
124.JPG,83.0,2.36,0.549676,3009,24.06412932140273,27614335.09515821
31.JPG,77.2,2.51,0.299814,2429,21.62085261856865,16539199.032260865
25.JPG,73.6,2.36,0.299713,6615,35.67992914178958,7853305.851938233
19.JPG,79.3,2.92,0.24992799999999998,7420,37.7886182043704,5606845.181942782
42.JPG,71.2,2.17,0.299928,5452,32.39194173258651,9319050.552172394
4.JPG,52.8,1.93,0.14991,5457,32.40679156682946,4250253.729800799
56.JPG,61.4,2.19,0.349588,3530,26.064320761271713,13910701.363812063
81.JPG,64.4,1.97,0.449758,4293,28.743490310161608,16687045.98828226
95.JPG,73.7,2.62,0.44977100000000003,5801,33.41261693616659,12351190.228539951
143.JPG,75.2,2.22,0.55112,5675,33.0477572494268,16883621.868311632
142.JPG,60.4,2.28,0.433392,4261,28.63616301704889,14556591.583832344
94.JPG,75.0,2.35,0.44953,6634,35.7311334170635,11890091.37044183
80.JPG,68.5,2.55,0.449406,5306,31.955284009170033,12894367.364135953
5.JPG,71.1,2.4,0.149953,4779,30.326868925411237,4887007.178624211
57.JPG,72.1,2.17,0.349313,4953,30.874022971295332,11737150.668527288
43.JPG,84.7,2.43,0.299663,6266,34.72595948634679,8645503.880262652
55.JPG,75.9,2.38,0.349335,6285,34.778568313722545,9618491.364247445
7.JPG,43.9,0.91,0.199732,6006,33.99787109390279,6998123.950513814
41.JPG,70.5,2.41,0.299439,6856,36.324066611380736,7397802.041892375
69.JPG,71.9,2.16,0.399764,5073,31.245788599420198,13205474.666646188
96.JPG,66.1,2.29,0.449064,4892,30.683315318891953,14195078.689166907
82.JPG,80.9,2.27,0.44964,4087,28.04538316240304,18073164.629587807
140.JPG,67.7,2.29,0.35784,4301,28.77025957352824,12608104.739490379
141.JPG,60.3,2.37,0.286738,3730,26.79251452724127,10429164.615358222
83.JPG,66.1,2.38,0.449214,7422,37.793710666923594,10189109.583570328
97.JPG,77.9,2.47,0.44987299999999997,7534,38.077801617541944,10752324.94766313
68.JPG,58.9,1.99,0.399441,4231,28.535177056522745,14256499.13464642
40.JPG,65.3,2.17,0.29988099999999995,5885,33.65365920758567,8426112.151527015
54.JPG,72.5,1.93,0.349454,4079,28.017921336319024,14441971.955437971
6.JPG,59.9,3.28,0.199856,5694,33.103033258629175,4484272.488625652
78.JPG,66.9,2.7,0.449161,7210,37.25003552954548,9834293.826554853
2.JPG,76.5,2.12,0.149694,6130,34.34703844648232,4467177.777720429
50.JPG,67.6,2.28,0.34966,5128,31.414710887334298,10813151.22787616
44.JPG,64.5,1.96,0.34972000000000003,3981,27.679302867208076,13776521.354434561
145.JPG,73.5,2.3,0.599189,6260,34.70932960615948,16564344.1515443
93.JPG,72.9,2.31,0.449483,5117,31.380999173827647,14363851.080869138
87.JPG,72.6,2.36,0.449356,5070,31.236548383751806,14276057.742497988
86.JPG,71.9,2.09,0.449601,4013,27.790325836268803,18000232.405021068
92.JPG,75.9,2.15,0.449149,5218,31.68918692883251,14959788.39691669
144.JPG,75.0,2.01,0.599682,7194,37.20868105048502,16139393.214666719
150.JPG,77.4,2.35,0.599587,4336,28.887083429601176,22163238.180988975
45.JPG,78.0,2.21,0.34963099999999997,5624,32.89892558490047,11007495.698104756
3.JPG,78.9,2.81,0.149817,5757,33.2856600741955,4133906.765001017
51.JPG,64.7,2.35,0.34961200000000003,4767,30.28876982880479,11004798.31519466
79.JPG,75.5,2.58,0.449733,6653,35.782264419302194,11366235.438559841
47.JPG,60.7,1.28,0.349966,4548,29.584844229630022,14976532.868112383
53.JPG,76.2,2.13,0.349591,6457,35.25124436648733,9990477.571874859
1.JPG,62.7,2.07,0.099913,3971,27.64451674957142,3783180.768359385
146.JPG,66.1,2.17,0.5994539999999999,6453,35.240323906384354,15814915.945230938
84.JPG,62.6,2.15,0.37520600000000004,6029,34.06290637895448,10183924.24240327
90.JPG,63.5,2.22,0.44909,5396,32.22515607692858,13129591.552253151
91.JPG,70.2,2.39,0.449474,6703,35.916471868202116,11317061.539020699
85.JPG,69.2,2.69,0.44990199999999997,6172,34.46450280814725,11278122.423679788
147.JPG,62.3,2.34,0.598946,5761,33.297221609825215,16084655.684548078
52.JPG,59.7,2.22,0.34930500000000003,5569,32.73766255714777,9670389.765952963
