image_number,Penetration_depth (nm),Load (mN),H (GPa)
418,3346,449.865,2.26
419,3323,450,2.26
420,3251,449.967,2.41
421,3262,449.626,2.33
422,3314,449.907,2.29
423,3277,449.744,2.32
424,3337,449.734,2.23
425,3294,449.674,2.34
426,3255,449.886,2.38
427,3278,449.702,2.32
428,3225,449.915,2.42
429,2981,449.908,2.85
430,3430,449.771,2.11
431,3324,449.767,2.23
432,3402,449.376,2.13
433,3302,449.975,2.34
434,3299,449.97,2.3
435,3088,449.516,2.69
436,3331,449.847,2.23
437,3310,449.436,2.28
438,3313,449.758,2.27
439,3190,449.622,2.52
440,3362,449.647,2.19
441,3274,449.825,2.33
442,3241,449.397,2.42
443,3294,449.644,2.32
444,3242,449.772,2.38
445,3368,449.72,2.16
446,3277,449.638,2.36
447,3365,449.903,2.19
448,3343,449.739,2.23
449,3152,449.892,2.56
450,3503,499.366,2.26
451,3670,499.797,2.07
452,3509,499.906,2.24
453,3531,499.297,2.19
454,3633,499.953,2.05
455,3434,499.984,2.39
456,3418,499.636,2.39
457,3334,499.816,2.5
458,3588,499.849,2.14
459,3515,499.989,2.25
460,3479,499.929,2.32
461,3588,499.973,2.12
462,3504,499.414,2.24
463,3463,499.575,2.33
464,3487,499.398,2.27
465,3577,499.375,2.16
466,3521,499.596,2.26
467,3571,499.54,2.18
468,3579,499.698,2.17
